District,Latitude,Longitude,lat,lon,
nicobars,8,93.5,7.158125935,93.78552753,
north and middle andaman,12.84095277,92.8692099,12.56826122,92.89738883,
south andaman,11.50569706,92.64196482,10.75302822,92.50143399,
anantapur,14.68352,77.58195,14.68321112,77.60065878,
chittoor,13.20604,79.08833,13.48799207,78.83839435,
east godavari,16.96036,82.23809,17.32419555,82.04036898,
guntur,16.29974,80.45729,16.39336482,80.00877319,
krishna,16.18747,81.13888,16.6127838,80.72109697,
kurnool,15.82551,78.03012,15.64681907,78.11116981,
prakasam,15.51761,80.0599,15.3514389,79.56051425,
spsr nellore,14.08333,79.58333,14.2609096,79.91944044,
srikakulam,18.2989,83.89751,18.62028135,84.01656925,
visakhapatnam,17.71984,83.26284,17.7266243,82.7347128,
vizianagaram,18.11825,83.41798,18.40849542,83.33618661,
west godavari,16.71311,81.10437,16.92037015,81.33976834,
ysr,13.87457,79.5388,14.57955331,78.83843464,
anjaw,28.04142611,96.83475135,28.04142611,96.83475135,
changlang,27.37421556,96.35447761,27.56970748,96.49152701,
dibangvalley,28.85757419,95.9117829,28.76835186,95.89954669,
east kameng,27.59981787,92.92209379,27.61842619,92.85770525,
east siang,28.0493143,95.34435148,28.06017417,95.35139573,
kamle,27.77785994,94.12304359,27.72796647,94.1111263,
kra daadi,27.99767559,93.70192312,28.04981919,93.69974919,
kurung kumey,28.00721911,93.20722546,28.08718775,93.26035129,
lepa rada,27.93550607,94.71149751,27.89496131,94.7681234,
lohit,27.88832904,96.34336336,28.0730567,96.15337992,
longding,26.8623075,95.32686365,26.84265921,95.35105235,
lower dibangvalley,28.25433025,95.87343736,28.08778503,95.81325331,
lower siang,27.77779238,94.68677519,27.80290132,94.60372696,
lower subansiri,27.56021766,93.78343877,27.59767596,93.82444863,
namsai,27.6654,95.87726,27.67313987,95.86473988,
pakke kessang,27.11519867,93.06099951,27.05267832,93.01756593,
papum pare,27.30976594,93.60479049,27.22923113,93.50068346,
